Participant ID,Game ID,Round 1,Round 2,Round 3,Disorder,Website Choice
6,1,Short stature. Picture: Angiokeratoma (small raised dark-red spot). Picture: Conjunctival telangiectasia. Vertigo. Abdominal pain. Corneal opacity. Anorexia,Behavioral abnormality. Picture: Subcutaneous nodule (skin lesion). Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Fever. Hearing impairment. Muscle pain. Spider veins,Chest pain. Renal insufficiency. Mitral regurgitation. Nephrotic syndrome. Kidney damage/Kidney disease. Atrioventricular block. Optic atrophy,Fabry disease,2. Malady Help
6,2,Feeding difficulties in infancy. Depressivity. Recurrent fractures. Involuntary movements. Bone pain,Changes in coordination and speed of movements. Developmental regression. Joint dislocation. Bilateral tonic-clonic seizure. Englarged spleen,Enlarged ventricular system of the brain. Low blood cell count. Low platelet count. Replacement of normal lung tissues by fibroblasts and collagen. Abnormality of the skeletal system,Gaucher disease,3. Google Custom
7,0,Foot deformity. Dental abnormalities. Prominent eye folds. Joint hyperflexibility. Joint pain,Frequent joint dislocation. Vertigo. Stretchy skin. Arrhythmia. Bladder hernia,Muscle pain. Fatigue. Malabsorption. Gastrointestinal dysmotility,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
7,1,Seizure. Lack of sweating. Anemia. Corneal opacity. Hearing impairment. Thickened skin,Abdominal pain. Muscle pain. Anxiety. Anorexia. Mini-stroke. Congestive heart failure,Kidney damage/Kidney disease. Abnormality of the endocardium. Elevated or lowered cholesteral. Optic atrophy. Abnormal myocardium morphology. Renal insufficiency,Fabry disease,2. Malady Help
7,2,Delayed skeletal maturation. Short stature. Misalignment of the eyes. Anemia. Fatigue,Abdominal pain. Joint pain. Depressivity. Recurrent fractures. Joint dislocation,Ataxia. Englarged spleen. Hydrocephalus (too much cerebrospinal fluid in the brain). Interstitial pulmonary abnormality. Retinopathy,Gaucher disease,1. Collaborative Filtering
8,0,Foot deformity. Flat feet. Muscle pain. Vertigo. Fatigue,Osteoarthritis. Soft skin. Migraine. Nausea and vomiting. Malabsorption,Stretchy skin. Unusual scars. Frequent joint dislocation. Poorly functioning veins. Keratoconus,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
8,1,Congestive heart failure. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Spider veins. Blurred vision. Fatigue,Corneal opacity. Nausea and vomiting. Thickened skin. Cataract,Optic atrophy. Malabsorption. Corneal dystrophy. Renal insufficiency,Fabry disease,3. Google Custom
8,2,Abnormal bone structure. Delayed skeletal maturation. Joint pain. Paralysis or weakness of one side of the body. Anemia,Fatigue. Joint dislocation. Bone pain. Enlarged liver. Elevated C-reactive protein level,Calcium deposits in the mitral valve. Bone infection. Low platelet count. Replacement of normal lung tissues by fibroblasts and collagen. Englarged spleen,Gaucher disease,2. Malady Help
9,0,Sleep disturbance. Foot deformity. Frequent joint dislocation. Persistent blue hands/feet. Vertigo,Malabsorption. Tendon rupture. Muscle pain. Migraine. Fatigue,Arrhythmia. Depressivity. Nausea and vomiting. Stretchy skin. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
9,1,Joint pain. Spider veins. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Blurred vision,Picture: Subcutaneous nodule (skin lesion). Lack of sweating. Seizure. Arthritis,Malabsorption. Abnormal aortic valve morphology. Renal insufficiency. Cataract,Fabry disease,3. Google Custom
9,2,Delayed skeletal maturation. Difficulty swallowing. Joint pain. Anemia,Depressivity. Bleeding gums. Bilateral tonic-clonic seizure. Generalized myoclonic seizures,Osteopenia: Decreased bone density. Bone death due to lack of blood supply. Englarged spleen. Enlarged liver,Gaucher disease,2. Malady Help
10,0,Foot deformity. Prominent eye folds. Abnormal palate (roof of the mouth). Small teeth. Acid reflux. Vertigo. Nausea and vomiting,Tendon rupture. Breathing stops (episodes). Persistent blue hands/feet. Constipation. Joint hyperflexibility. Depressivity,Malabsorption. Menstrual abnormalities (frequency heaviness irregularity). Joint pain. Frequent joint dislocation. Decreased nerve conduction velocity. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
10,1,Delayed puberty. Anemia. Cognitive impairment. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Behavioral abnormality,Blood in urine. Arthritis. Blurred vision. Fatigue,Kidney damage/Kidney disease. Nephrotic syndrome. Reduced bone mineral density. Emphysema,Fabry disease,3. Google Custom
10,2,Feeding difficulties in infancy. Abnormal bone structure. Anemia. Corneal opacity. Double vision,Abdominal pain. Depressivity. Tremor. Enlarged liver,Abnormality of the skeletal system. Hepatitis. Bone death due to lack of blood supply. Retinopathy,Gaucher disease,1. Collaborative Filtering
11,0,Foot deformity. Drooping upper eyelid. Osteoarthritis. Vertigo. Thin skin,Tingling/pins and needles. Fatigue. Stretchy skin. Joint pain,Malabsorption. Soft skin. Extra bones in the cranium. Decreased nerve conduction velocity,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
11,1,Short stature. Blood in urine. Lack of sweating. Muscle pain. Picture: Subcutaneous nodule (skin lesion). Thickened skin. Arthritis,Corneal opacity. Spider veins. Developmental regression. Nausea and vomiting. Arrhythmia. Corneal dystrophy,Abnormal myocardium morphology. Abnormal aortic valve morphology. Nephrotic syndrome. Malabsorption. Renal insufficiency. Emphysema,Fabry disease,3. Google Custom
11,2,Delayed puberty. Depressivity. Abdominal pain. Limited eye movements,Decreased muscle tone. Developmental regression. Abnormality of the skeletal system,Ataxia. Englarged spleen. Osteolysis: Breakdown of bone,Gaucher disease,2. Malady Help
12,0,Gum enlargement. Dental abnormalities. Frequent joint dislocation. Umbilical hernia. Nausea and vomiting,Osteoarthritis. Fatigue. Vertigo. Acid reflux. Joint hyperflexibility,Constipation. Muscle pain. Absent/small abdominal wall muscles. Gastrointestinal dysmotility,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
12,1,Picture: thick lower lip. Nausea and vomiting. Thickened skin. Blood in urine. Breathing difficulties,Mini-stroke. Congestive heart failure. Fatigue. Abdominal pain. Abnormal renal tubule morphology,Optic atrophy. Cataract. Sensorineural hearing impairment. Malabsorption,Fabry disease,2. Malady Help
12,2,Feeding difficulties in infancy. Delayed puberty. Dry scales on the skin. Changes in coordination and speed of movements. Joint pain,Developmental regression. Fever. Hydrocephalus (too much cerebrospinal fluid in the brain). Interstitial pulmonary abnormality,Increased bone mineral density. Enlarged liver. Elevated C-reactive protein level. Abnormality of the skeletal system,Gaucher disease,1. Collaborative Filtering
13,0,Sleep disturbance. Foot deformity. Depressivity. Fatigue. Nausea and vomiting,Muscle pain. Osteoarthritis. Constipation. Migraine. Malabsorption,Stretchy skin. Thin skin. Arrhythmia. Absent/small abdominal wall muscles. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
13,1,Spider veins. Anemia. Cognitive impairment. Lack of sweating,Corneal opacity. Blood in urine. Joint pain. Muscle pain,Optic atrophy. Corneal dystrophy. Nephrotic syndrome. Bundle branch block,Fabry disease,3. Google Custom
13,2,Feeding difficulties in infancy. Delayed puberty. Anemia. Susceptable to bleeding. Bone pain,Bleeding gums. Difficulty swallowing. Difficulty with horizontal voluntary eye movements. Englarged spleen. Low platelet count,Abnormal pericardium morphology. Replacement of normal lung tissues by fibroblasts and collagen. Cherry red spot of the macula. Calcium deposits in the mitral valve,Gaucher disease,1. Collaborative Filtering
14,0,Small teeth. Prominent eye folds. Gum enlargement. Joint hyperflexibility. Decreased fertility. Thin skin,Joint pain. Osteoarthritis. Frequent joint dislocation. Stretchy skin. Depressivity. Tingling/pins and needles,Nausea and vomiting. Muscle pain. Vertigo. Umbilical hernia. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
14,1,Short stature. Abdominal pain. Anemia. Picture: Conjunctival telangiectasia. Arthritis. Lack of sweating,Cognitive impairment. Persistent swelling in arm/leg. Arrhythmia. Fever. Congestive heart failure,Nephrotic syndrome. Elevated or lowered cholesteral. Glomerulopathy (diseased blood vessels in the kidneys). Bundle branch block. Abnormal aortic valve morphology,Fabry disease,1. Collaborative Filtering
14,2,Feeding difficulties in infancy. Delayed puberty. Anemia. Joint dislocation. Joint stiffness. Bleeding gums,Recurrent fractures. Bone pain. Joint pain. Enlarged liver. Bone infection,Osteopenia: Decreased bone density. Abnormal heart valve morphology. Calcium deposits in the aortic valve. Generalized myoclonic seizures. Low platelet count,Gaucher disease,3. Google Custom
15,0,Sleep disturbance. Abnormality of the wrist. Vertigo. Arrhythmia. Abnormal anus or rectum. Constipation,Persistent blue hands/feet. Frequent joint dislocation. Stretchy skin. Fatigue. Joint pain,Menstrual abnormalities (frequency heaviness irregularity). Tingling/pins and needles. Joint hyperflexibility. Gastrointestinal dysmotility. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
15,1,Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Mini-stroke. Anorexia. Muscle pain. Developmental regression. Spider veins,Anemia. Arrhythmia. Cognitive impairment. Picture: Angiokeratoma (small raised dark-red spot). Abdominal pain. Vision loss,Nephrotic syndrome. Elevated or lowered cholesteral. Abnormal aortic valve morphology. Corneal dystrophy. Emphysema,Fabry disease,2. Malady Help
15,2,Delayed skeletal maturation. Abnormal bone structure. Anemia. Bone pain. Difficulty swallowing. Developmental regression,Bleeding gums. Hearing impairment. Decreased muscle tone. Abnormal skin pigmentation. Enlarged liver. Cranial nerve paralysis,Bilateral tonic-clonic seizure. Osteopenia: Decreased bone density. High urine protein levels. Hydrocephalus (too much cerebrospinal fluid in the brain). Increased bone mineral density. Bone death due to lack of blood supply,Gaucher disease,3. Google Custom
16,0,Gum enlargement. Foot deformity. Vertigo. Fatigue. Persistent blue hands/feet. Inguinal hernia,Limitation of joint mobility. Stretchy skin. Unusual scars. Umbilical hernia. Joint hyperflexibility. Scoliosis,Nausea and vomiting. Tingling/pins and needles. Joint pain. Extra bones in the cranium. Absent/small abdominal wall muscles,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
16,1,Arthritis. Progressive airflow obstruction. Picture: Angiokeratoma (small raised dark-red spot). Picture: Subcutaneous nodule (skin lesion). Cognitive impairment,Breathing difficulties. Picture: Conjunctival telangiectasia. Vertigo. Elevated or lowered cholesteral,Malabsorption. Cataract. High urine protein levels. Emphysema,Fabry disease,2. Malady Help
16,2,Feeding difficulties in infancy. Delayed skeletal maturation. Osteoarthritis. Anemia. Joint pain,Susceptable to bleeding. Bone pain. Retinopathy. Abnormality of the skeletal system,Enlarged liver. Osteolysis: Breakdown of bone. Low platelet count. Increased bone mineral density,Gaucher disease,3. Google Custom
17,0,Small teeth. Sleep disturbance. Foot deformity. Menstrual abnormalities (frequency heaviness irregularity). Vertigo. Constipation,Fatigue. Joint pain. Unusual scars. Stretchy skin. Muscle pain,Acid reflux. Arrhythmia. Breathing stops (episodes). Malabsorption. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
17,1,Short stature. Abdominal pain. Hearing impairment. Muscle pain. Picture: Angiokeratoma (small raised dark-red spot). Joint pain,Spider veins. Blood in urine. Mini-stroke. Fatigue. Lack of sweating. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system,Corneal dystrophy. Atrioventricular block. Mitral regurgitation. Emphysema. Bundle branch block,Fabry disease,1. Collaborative Filtering
17,2,Misalignment of the eyes. Fever. Difficulty swallowing. Abdominal pain,Developmental regression. Fatigue. Changes in coordination and speed of movements. Bilateral tonic-clonic seizure,Englarged spleen. Generalized myoclonic seizures. Enlarged ventricular system of the brain. Osteolysis: Breakdown of bone,Gaucher disease,2. Malady Help
18,0,Sleep disturbance. Foot deformity. Dental abnormalities. Tingling/pins and needles. Arrhythmia. Stretchy skin. Malabsorption,Joint hyperflexibility. Bladder hernia. Constipation. Thin skin. Muscle pain. Vertigo. Migraine,Limitation of joint mobility. Joint pain. Depressivity. Fatigue. Persistent blue hands/feet. Poorly functioning veins. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
18,1,Anorexia. Breathing difficulties. Blood in urine. Mini-stroke. Thickened skin,Arthritis. Congestive heart failure. Spider veins. Kidney damage/Kidney disease,Nephrotic syndrome. Abnormal aortic valve morphology. Bundle branch block. Atrioventricular block,Fabry disease,1. Collaborative Filtering
18,2,Misalignment of the eyes. Arthrogryposis multiplex congenita (bent joints that cannot be straightened). Anemia. Fever. Osteoarthritis,Changes in coordination and speed of movements. Difficulty swallowing. Recurrent fractures. Double vision. Increased bone mineral density,Enlarged liver. Abnormality of the skeletal system. Bone death due to lack of blood supply. Increased antibody level in blood. Osteopenia: Decreased bone density,Gaucher disease,2. Malady Help
19,0,Prominent eye folds. Small teeth. Abnormal palate (roof of the mouth). Arrhythmia. Fatigue. Vertigo,Soft skin. Stretchy skin. Joint hyperflexibility. Frequent joint dislocation. Constipation,Malabsorption. Scoliosis. Migraine. Limitation of joint mobility. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
19,1,Blurred vision. Congestive heart failure. Picture: Conjunctival telangiectasia,Anxiety. Picture: Subcutaneous nodule (skin lesion). Anemia,Nephrotic syndrome. Corneal dystrophy. Abnormal aortic valve morphology,Fabry disease,2. Malady Help
19,2,Misalignment of the eyes. Delayed puberty. Bone pain. Involuntary movements. Blood in urine. Tremor,Fever. Abdominal pain. Fatigue. Corneal opacity. Low platelet count. Generalized myoclonic seizures,Ataxia. Bone infection. Enlarged liver. Englarged spleen. Replacement of normal lung tissues by fibroblasts and collagen. Osteopenia: Decreased bone density,Gaucher disease,3. Google Custom
20,0,Gum abnormalities. Dental abnormalities. Persistent blue hands/feet. Constipation. Joint pain,Scoliosis. Malabsorption. Muscle pain. Inflamed gums. Frequent joint dislocation,Migraine. Inguinal hernia. Bladder hernia. Tingling/pins and needles. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
20,1,Delayed puberty. Muscle pain. Fatigue. Congestive heart failure. Cognitive impairment,Anemia. Blurred vision. Corneal opacity. Abdominal pain. Anxiety,Arthritis. Breathing difficulties. Malabsorption. Achalasia. High urine protein levels,Fabry disease,3. Google Custom
20,2,Delayed skeletal maturation. Delayed puberty. Joint pain. Developmental regression. Joint stiffness,Changes in coordination and speed of movements. Depressivity. Low blood cell count. High urine protein levels. Bone death due to lack of blood supply,Cherry red spot of the macula. Low platelet count. Replacement of normal lung tissues by fibroblasts and collagen. Englarged spleen,Gaucher disease,1. Collaborative Filtering
21,0,Gum abnormalities. Sleep disturbance. Foot deformity. Thin skin. Umbilical hernia,Migraine. Arrhythmia. Dry eyes. Tendon rupture. Tingling/pins and needles,Joint pain. Muscle pain. Joint hyperflexibility. Poorly functioning veins. Decreased nerve conduction velocity,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
21,1,Picture: Conjunctival telangiectasia. Spider veins. Anemia. Developmental regression. Blurred vision,Mini-stroke. Blood in urine. Arthritis. Fatigue,Corneal dystrophy. Elevated or lowered cholesteral. Abnormal aortic valve morphology. Bundle branch block,Fabry disease,3. Google Custom
21,2,Delayed puberty. Bone pain. Difficulty swallowing. Abdominal pain. Involuntary movements,Fever. Changes in coordination and speed of movements. Cranial nerve paralysis. Bilateral tonic-clonic seizure. Abnormal myocardium morphology,Enlarged liver. Bone infection. Abnormality of the skeletal system. Bone death due to lack of blood supply,Gaucher disease,1. Collaborative Filtering
22,0,Sleep disturbance. Prominent eye folds. Osteoarthritis. Persistent blue hands/feet. Nausea and vomiting,Fatigue. Inguinal hernia. Migraine. Muscle pain. Thin skin,Abnormal anus or rectum. Limitation of joint mobility. Depressivity. Malabsorption. Decreased nerve conduction velocity,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
22,1,Mini-stroke. Fatigue. Hearing impairment. Developmental regression,Anxiety. Arrhythmia. Picture: Subcutaneous nodule (skin lesion). Abnormality of femur morphology,Nephrotic syndrome. Mitral regurgitation. Abnormal aortic valve morphology,Fabry disease,1. Collaborative Filtering
22,2,Abnormal bone structure. Feeding difficulties in infancy. Anemia. Bone pain. Bleeding gums. Joint pain,Fever. Dry scales on the skin. Depressivity. Breathing difficulties. Increased bone mineral density. High urine protein levels,Englarged spleen. Replacement of normal lung tissues by fibroblasts and collagen. Low platelet count. Ataxia. Abnormal macular morphology,Gaucher disease,3. Google Custom
23,0,Sleep disturbance. Prominent eye folds. Depressivity. Stretchy skin. Frequent joint dislocation,Inflamed gums. Joint hyperflexibility. Umbilical hernia. Osteoarthritis. Muscle pain,Fatigue. Persistent blue hands/feet. Genital hernia. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,2. Malady Help
23,1,Picture: thick lower lip. Picture: Angiokeratoma (small raised dark-red spot). Congestive heart failure. Vision loss. Picture: Subcutaneous nodule (skin lesion),Depressivity. Thickened skin. Behavioral abnormality. Increased urine output. Abdominal pain,Mini-stroke. Achalasia. Emphysema. Corneal dystrophy,Fabry disease,3. Google Custom
23,2,Feeding difficulties in infancy. Delayed puberty. Abdominal pain. Joint pain. Susceptable to bleeding. Depressivity,Difficulty swallowing. Hearing impairment. Abnormal skin pigmentation. Elevated C-reactive protein level. Enlarged liver. Ataxia,Cherry red spot of the macula. Calcium deposits in the aortic valve. Abnormal heart valve morphology. Bilateral tonic-clonic seizure. Englarged spleen,Gaucher disease,1. Collaborative Filtering
24,0,Foot deformity. Sleep disturbance. Arrhythmia. Malabsorption. Vertigo,Osteoarthritis. Umbilical hernia. Muscle pain. Depressivity. Joint hyperflexibility,Persistent blue hands/feet. Dry eyes. Stretchy skin. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
24,1,Picture: Angiokeratoma (small raised dark-red spot). Fatigue. Nausea and vomiting. Spider veins inside the mouth or conjunctiva or gastrointestinal tract or inner nose or trachoebronchial system. Depressivity,Seizure. Abdominal pain. Mini-stroke. Increased urine output. Atrioventricular block,Mitral regurgitation. Sensorineural hearing impairment. Emphysema. Malabsorption,Fabry disease,3. Google Custom
24,2,Abnormal bone structure. Breathing difficulties. Joint pain. Bone pain,Bleeding gums. Anemia. Joint stiffness. Cranial nerve paralysis,Hydrocephalus (too much cerebrospinal fluid in the brain). Osteopenia: Decreased bone density. Abnormal myocardium morphology. Abnormality of the skeletal system,Gaucher disease,2. Malady Help
25,0,Sleep disturbance. Drooping upper eyelid. Migraine. Osteoarthritis. Dry eyes,Inflamed gums. Muscle pain. Persistent blue hands/feet. Stretchy skin. Tendon rupture,Soft skin. Nausea and vomiting. Menstrual abnormalities (frequency heaviness irregularity). Gastrointestinal dysmotility,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
25,1,Delayed puberty. Blood in urine. Picture: Conjunctival telangiectasia. Arthritis. Anemia. Abdominal pain,Fatigue. Lack of sweating. Seizure. Muscle pain. Picture: Subcutaneous nodule (skin lesion). Arrhythmia,Emphysema. Malabsorption. Reduced bone mineral density. Renal insufficiency. Hypertrophic cardiomyopathy. Corneal dystrophy,Fabry disease,2. Malady Help
25,2,Feeding difficulties in infancy. Arthrogryposis multiplex congenita (bent joints that cannot be straightened). Double vision. Developmental regression. Difficulty swallowing,Abdominal pain. Anemia. Generalized myoclonic seizures. Low platelet count,Abnormal pericardium morphology. Replacement of normal lung tissues by fibroblasts and collagen. Hepatitis. Ataxia,Gaucher disease,1. Collaborative Filtering
26,0,Flat feet. Gum enlargement. Constipation. Fatigue. Breathing stops (episodes). Scoliosis,Muscle pain. Thin skin. Migraine. Vertigo. Soft skin. Nausea and vomiting,Joint pain. Frequent joint dislocation. Genital hernia. Stretchy skin. Decreased nerve conduction velocity. Extra bones in the cranium,Hypermobile Ehlers-Danlos syndrome,1. Collaborative Filtering
26,1,Picture: coarse facial features. Picture: Angiokeratoma (small raised dark-red spot). Spider veins. Anemia. Joint pain,Hearing impairment. Fatigue. Behavioral abnormality. Depressivity. Seizure,Cataract. Atrioventricular block. Optic atrophy. Emphysema. Renal insufficiency,Fabry disease,3. Google Custom
26,2,Feeding difficulties in infancy. Delayed skeletal maturation. Fever. Corneal opacity. Abdominal pain. Joint pain,Changes in coordination and speed of movements. Paralysis or weakness of one side of the body. Fatigue. Ataxia. Generalized myoclonic seizures,Calcium deposits in the mitral valve. Bone infection. Osteopenia: Decreased bone density. Hepatitis. Osteolysis: Breakdown of bone,Gaucher disease,2. Malady Help
27,0,Foot deformity. Sleep disturbance. Migraine. Frequent joint dislocation. Inflamed gums,Abnormal anus or rectum. Constipation. Fatigue. Joint hyperflexibility,Bladder hernia. Depressivity. Persistent blue hands/feet. Decreased nerve conduction velocity,Hypermobile Ehlers-Danlos syndrome,3. Google Custom
